n=4; iterations=0; solution=[2, 0, 3, 1]
n=5; iterations=0; solution=[0, 2, 4, 1, 3]
n=6; iterations=17; solution=[4, 2, 0, 5, 3, 1]
n=7; iterations=3; solution=[2, 4, 6, 1, 3, 5, 0]
n=8; iterations=7; solution=[5, 3, 6, 0, 7, 1, 4, 2]
n=9; iterations=7; solution=[0, 7, 3, 1, 6, 8, 5, 2, 4]
n=10; iterations=14; solution=[2, 5, 8, 0, 3, 6, 9, 7, 1, 4]
n=11; iterations=31; solution=[2, 5, 3, 9, 7, 10, 1, 6, 8, 0, 4]
n=12; iterations=9; solution=[7, 10, 0, 3, 6, 9, 11, 8, 1, 4, 2, 5]
n=13; iterations=46; solution=[6, 3, 5, 12, 8, 0, 11, 7, 2, 10, 1, 9, 4]
n=14; iterations=15; solution=[9, 4, 0, 11, 6, 2, 10, 8, 13, 3, 1, 7, 5, 12]
n=15; iterations=22; solution=[9, 6, 8, 5, 1, 13, 10, 7, 4, 2, 11, 14, 3, 0, 12]
n=16; iterations=29; solution=[3, 10, 7, 15, 4, 0, 13, 8, 14, 11, 6, 2, 5, 1, 12, 9]
n=17; iterations=33; solution=[1, 12, 15, 2, 10, 14, 0, 4, 8, 16, 13, 9, 3, 5, 7, 11, 6]
n=18; iterations=32; solution=[10, 14, 7, 3, 15, 11, 1, 5, 16, 8, 13, 2, 6, 17, 0, 12, 9, 4]
n=19; iterations=21; solution=[7, 9, 13, 6, 4, 18, 11, 17, 12, 5, 16, 2, 0, 14, 8, 10, 15, 1, 3]
n=20; iterations=52; solution=[17, 9, 7, 1, 10, 2, 5, 19, 15, 13, 11, 14, 6, 0, 16, 4, 8, 3, 18, 12]
n=21; iterations=43; solution=[1, 19, 0, 18, 13, 5, 12, 15, 3, 6, 4, 14, 16, 20, 2, 17, 7, 10, 8, 11, 9]
n=22; iterations=43; solution=[14, 7, 4, 13, 9, 2, 19, 8, 16, 12, 21, 0, 5, 20, 18, 11, 3, 1, 10, 17, 15, 6]
n=23; iterations=44; solution=[15, 1, 16, 7, 12, 6, 0, 5, 14, 19, 3, 22, 2, 10, 13, 20, 18, 8, 21, 11, 4, 17, 9]
n=30; iterations=39; solution=[29, 12, 4, 22, 24, 13, 18, 16, 1, 10, 7, 21, 26, 2, 19, 6, 14, 3, 8, 23, 15, 20, 28, 17, 27, 9, 5, 0, 11, 25]
n=35; iterations=71; solution=[15, 20, 1, 5, 31, 12, 18, 29, 24, 7, 2, 32, 17, 27, 8, 10, 26, 14, 0, 30, 13, 25, 28, 11, 4, 33, 22, 3, 19, 16, 9, 21, 6, 34, 23]
n=37; iterations=84; solution=[16, 28, 5, 9, 19, 0, 32, 36, 31, 8, 23, 15, 13, 34, 21, 6, 24, 29, 10, 33, 22, 30, 2, 11, 3, 35, 4, 17, 25, 27, 1, 14, 18, 26, 7, 20, 12]
n=50; iterations=180; solution=[27, 39, 26, 32, 44, 1, 49, 11, 16, 40, 3, 28, 48, 23, 30, 5, 37, 17, 13, 47, 38, 0, 29, 34, 6, 31, 12, 46, 9, 18, 45, 2, 20, 10, 8, 15, 33, 22, 25, 41, 24, 4, 36, 42, 35, 43, 21, 7, 14, 19]
